File	Left Context	Hit	Right Context
Full_Record_2025-04-03.txt	to teach or advance concepts related to 	gender ideology, 	and for other purposes; to 
Full_Record_2025-07-10.txt	to teach or advance concepts related to 	gender ideology, 	and for other purposes; to 
Full_Record_2023-03-23.txt	Rights Act to protect children from radical 	gender ideology 	and to ensure parents are 
Full_Record_2025-09-10.txt	from readiness and lethality to promote extreme 	gender ideology 	and to fund sex changes 
Full_Record_2025-10-08.txt	books related to diversity, equity, and inclusion, ‘‘	gender ideology’’, 	and anything that would suggest ‘‘
Full_Record_2022-05-17.txt	industry needs. H.R. 7309 also promotes progressive 	gender ideology 	and critical race theory by 
Full_Record_2025-03-05.txt	his commitment to protecting children from radical 	gender ideology 	and ensuring that women and 
Full_Record_2025-06-12.txt	U.S. Institute of Peace for woke 	gender ideology 	and equity nonsense that mocks 
Full_Record_2023-03-23.txt	of the color of their skin; radical 	gender ideology; 	and even drag shows to 
Full_Record_2025-10-08.txt	libraries that include themes related to race, ‘‘	gender ideology’’, 	and other ‘‘divisive concepts’’ that 
Full_Record_2024-06-13.txt	of my amendment that would restrict radical 	gender ideology 	and pornographic content from entering 
Full_Record_2024-06-13.txt	mathematics and arithmetic and writing, not in 	gender ideology 	and pornography. What is unwelcome 
Full_Record_2025-06-12.txt	of globalist NGOs, projects that fund radical 	gender ideology, 	and the green new scam. 
Full_Record_2023-07-13.txt	that contains pornographic material or espouses radical 	gender ideology.  	The Acting CHAIR. Pursuant to 
Full_Record_2025-01-14.txt	hormones or by clothes or by radical 	gender ideology. 	The future of our young 
Full_Record_2023-12-06.txt	that contains pornographic material or espouses radical 	gender ideology. 	The Senate amendment contained no 
Full_Record_2023-03-22.txt	pass it without delay.  PUBLIC SCHOOL RADICAL 	GENDER IDEOLOGY 	The SPEAKER pro tempore. The 
Full_Record_2025-03-31.txt	Fed. Reg. 8615; relating to defending women from 	gender ideology 	extremism and restoring biological truth 
Full_Record_2025-04-03.txt	Fed Reg. 8615; relating to defending women from 	gender ideology 	extremism and restoring biological truth 
Full_Record_2025-04-03.txt	TRUMP’S EXECUTIVE ORDER DEFENDING WOMEN FROM 	GENDER IDEOLOGY 	EXTREMISM AND RESTORING BIOLOGICAL TRUTH 
Full_Record_2025-02-05.txt	female—that are grounded in biology, not 	gender ideology. 	In effect, this means no 
Full_Record_2024-12-10.txt	any material that espouses, advocates, or promotes 	gender ideology 	in schools operated by the 
Full_Record_2021-02-23.txt	bill could order the incorporation of radical 	gender ideology 	in sex education or other 
Full_Record_2023-03-22.txt	woke far-left propaganda and pushing radical 	gender ideology 	on children as young as 
Full_Record_2023-03-22.txt	attempts of public schools to force woke 	gender ideology 	on their children. Unfortunately, parents 
Full_Record_2023-07-18.txt	in their own values and push harmful 	gender ideology 	on them. In Cupertino, California, 
Full_Record_2025-07-16.txt	forced to subsidize programming that glorifies radical 	gender ideology 	at schools or encourages children 
Full_Record_2021-03-17.txt	egregious provisions of this bill push leftist 	gender ideology 	at the expense of important 
Full_Record_2024-06-13.txt	displaying, or maintaining material that promotes radical 	gender ideology 	or pornographic content (by a 
Full_Record_2023-12-14.txt	the strange material that goes into radical 	gender ideology 	or race ideology. That was 
Full_Record_2025-01-14.txt	have witnessed the imposition of a radical 	gender ideology 	that has disregarded the most 
Full_Record_2023-07-12.txt	to continue some of the strangest radical 	gender ideology 	that we have observed, whether 
Full_Record_2021-10-26.txt	down on attempts to advance a radical 	gender ideology 	through FVPSA’s resource centers. 
Full_Record_2021-03-17.txt	law, they want to push a progressive 	gender ideology 	through housing policy. That doesn’
Full_Record_2023-07-13.txt	has spent the last 2 years promoting radical 	gender ideology 	to impressionable young children in 
Full_Record_2025-09-16.txt	of speech is under serious threat. From 	gender ideology 	to race, the far left 
Full_Record_2022-12-22.txt	us up by race, divvying us by 	gender ideology—	all of those earmarks just 
Full_Record_2023-11-08.txt	Latinx’’ is growing in university classrooms, where 	gender ideology 	and political correctness have taken 
Full_Record_2025-02-06.txt	and still millions more on promoting leftist 	gender ideology 	around the world. America is 
Full_Record_2024-06-13.txt	material that espouses, advocates, or promotes radical 	gender ideology. (	b) DEADLINE FOR REMOVAL.—The 
Full_Record_2023-07-13.txt	from purchasing and having pornographic and radical 	gender ideology 	books in their libraries (by 
Full_Record_2023-07-13.txt	from purchasing and having pornographic and radical 	gender ideology 	books in their libraries. The 
Full_Record_2025-12-17.txt	children are being systematically indoctrinated with perverse 	gender ideology 	by teachers, doctors, mental health 
Full_Record_2025-02-06.txt	of terms deemed to invoke so-called 	gender ideology. 	CDC researchers were instructed to 
Full_Record_2021-02-23.txt	particularly young women, at the altar of 	gender ideology. 	Following the lead of liberal 
Full_Record_2023-04-26.txt	country because of the progressive left’s 	gender ideology. 	Girls’ locker rooms have now 
Full_Record_2025-07-16.txt	forced to subsidize programming that glorifies radical 	gender ideology 	in schools or pushes to 
Full_Record_2023-07-14.txt	schools from having books that espouse ‘‘radical 	gender ideology.’’ 	Instead of passing the bipartisan 
Full_Record_2024-06-13.txt	is that many think that a radical 	gender ideology 	is that trans and gay 
Full_Record_2025-03-04.txt	a position grounded in biological reality, not 	gender ideology. 	Last month, the President also 
Full_Record_2024-06-13.txt	students can read many books about radical 	gender ideology, 	like ‘‘When Aidan Became a 
Full_Record_2024-09-25.txt	across the country about the dangers of 	gender ideology. 	Macy is published in news 
Full_Record_2024-06-13.txt	to cause sexual arousal. (2) The term ‘‘radical 	gender ideology’’ 	means any concept, teaching, instruction, 
Full_Record_2023-03-23.txt	of any discussion about sexual orientation and 	gender ideology. 	Mr. Chair, I am proud 
Full_Record_2024-06-13.txt	ACTIVITY. (a) PROHIBITION ON PORNOGRAPHY AND RADICAL 	GENDER IDEOLOGY.—	None of the funds  authorized 
Full_Record_2024-07-10.txt	not only forces a nonscientific and nonsensical 	gender ideology 	onto every American but also 
Full_Record_2024-05-01.txt	s Ed Department has also prioritized radical 	gender ideology 	over the most fundamental statutory 
Full_Record_2023-03-23.txt	historically inaccurate critical race theory, and fluid 	gender ideology. 	Parents are the ones most 
Full_Record_2025-06-10.txt	dollars that have been flowing to radical 	gender ideology 	programs around the world. That 
Full_Record_2021-10-26.txt	have been used to push a radical 	gender ideology 	rather than help victims of 
Full_Record_2023-03-08.txt	lies and poisoning their minds with woke 	gender ideology. 	School administrators and teachers unions 
Full_Record_2021-03-17.txt	continue over disagreements on religious liberty and 	gender ideology. 	This bill is also being 
Full_Record_2024-06-13.txt	kids are getting there should not involve 	gender ideology, 	transgender propaganda, and radical sexualized 
Full_Record_2023-12-13.txt	teaching CRT, DEI, and advancing things like 	gender ideology. 	We have heard about drag 
